NoTroncon;CenterLongitude;CenterLatitude;EmplacementCount;sNoEmplacement;longitude;latitude
402;-73.56627;45.516467;24;G789;-73.566075;45.516379
402;-73.56627;45.516467;24;G790;-73.565931;45.516314
402;-73.56627;45.516467;24;G791;-73.565931;45.516314
402;-73.56627;45.516467;24;G794;-73.565732;45.516219
402;-73.56627;45.516467;24;G795;-73.56564200000001;45.516174
402;-73.56627;45.516467;24;G796;-73.56564200000001;45.516174
402;-73.56627;45.516467;24;G797;-73.565507;45.516121999999996
402;-73.56627;45.516467;24;G798;-73.565507;45.516121999999996
402;-73.56627;45.516467;24;G799;-73.56538499999999;45.516065000000005
403;-73.566204;45.516252;17;G742;-73.567214;45.516711
403;-73.566204;45.516252;17;G743;-73.567214;45.516711
403;-73.566204;45.516252;17;G751;-73.566693;45.516476000000004
403;-73.566204;45.516252;17;G752;-73.56656600000001;45.516415
403;-73.566204;45.516252;17;G753;-73.56656600000001;45.516415
403;-73.566204;45.516252;17;G756;-73.566313;45.516306
403;-73.566204;45.516252;17;G757;-73.566313;45.516306
403;-73.566204;45.516252;17;G758;-73.56618;45.516241
403;-73.566204;45.516252;17;G759;-73.56618;45.516241
403;-73.566204;45.516252;17;G760;-73.566071;45.516192
403;-73.566204;45.516252;17;G762;-73.565926;45.516124
403;-73.566204;45.516252;17;G763;-73.565926;45.516124
403;-73.566204;45.516252;17;G764;-73.565823;45.516078
403;-73.566204;45.516252;17;G765;-73.565764;45.516051000000004
403;-73.566204;45.516252;17;G767;-73.565636;45.515991
403;-73.566204;45.516252;17;G768;-73.56554;45.515948
403;-73.566204;45.516252;17;G769;-73.56554;45.515948
404;-73.564107;45.515478;24;G846;-73.56495799999999;45.515864
404;-73.564107;45.515478;24;G849;-73.564812;45.515796
404;-73.564107;45.515478;24;G850;-73.564678;45.515738
404;-73.564107;45.515478;24;G851;-73.564678;45.515738
