sNoEmplacement,nNoTroncon,longitude,latitude
G794,402,-73.565732,45.516219
G795,402,-73.565642,45.516174
G796,402,-73.565642,45.516174
G797,402,-73.565507,45.516122
G798,402,-73.565507,45.516122
G799,402,-73.565385,45.516065
G742,403,-73.567214,45.516711
G743,403,-73.567214,45.516711
G751,403,-73.566693,45.516476
G752,403,-73.566566,45.516415
G753,403,-73.566566,45.516415
G756,403,-73.566313,45.516306
G757,403,-73.566313,45.516306
G758,403,-73.56618,45.516241
G759,403,-73.56618,45.516241
G760,403,-73.566071,45.516192
G762,403,-73.565926,45.516124
G763,403,-73.565926,45.516124
G764,403,-73.565823,45.516078
G765,403,-73.565764,45.516051
G767,403,-73.565636,45.515991
G768,403,-73.56554,45.515948
G769,403,-73.56554,45.515948
G846,404,-73.564958,45.515864
G849,404,-73.564812,45.515796
G850,404,-73.564678,45.515738
G851,404,-73.564678,45.515738
G852,404,-73.564551,45.515682
G853,404,-73.564551,45.515682
G854,404,-73.564423,45.515623
G855,404,-73.564423,45.515623
G856,404,-73.564295,45.515562
G857,404,-73.564295,45.515562
G858,404,-73.564166,45.515502
G859,404,-73.564166,45.515502
G860,404,-73.564036,45.515445
G861,404,-73.564036,45.515445
G862,404,-73.563908,45.515388
G863,404,-73.563908,45.515388
G864,404,-73.563782,45.51533
G865,404,-73.563782,45.51533
G866,404,-73.563645,45.515268
G867,404,-73.563645,45.515268
G868,404,-73.563524,45.515212
G869,404,-73.563524,45.515212
G870,404,-73.563392,45.515151
G871,404,-73.563392,45.515151
G872,406,-73.563278,45.515101
G873,406,-73.563197,45.515065
G874,406,-73.563197,45.515065
G875,406,-73.563122,45.515031
G876,406,-73.563032,45.51499
G877,406,-73.562947,45.514949
G878,406,-73.562947,45.514949
G879,406,-73.562815,45.51489
G880,406,-73.562815,45.51489
G881,406,-73.562734,45.514827
G882,406,-73.562624,45.514801
G883,406,-73.562624,45.514801
G884,406,-73.562489,45.514742
G885,406,-73.562489,45.514742
G886,406,-73.562377,45.51469
G887,406,-73.562296,45.514655
G888,406,-73.562296,45.514655
G889,406,-73.562173,45.514575
G890,406,-73.562141,45.51456
G891,406,-73.562105,45.514564
G800,407,-73.565105,45.515748
G801,407,-73.565076,45.515733
G802,407,-73.565005,45.515704
G803,407,-73.564889,45.515652
G804,407,-73.564889,45.515652
G805,407,-73.564807,45.515617
G806,407,-73.564726,45.51558
G807,407,-73.564619,45.515554
G808,407,-73.564619,45.515554
G809,407,-73.564557,45.515504
G810,407,-73.564441,45.515445
G811,407,-73.564441,45.515445
G813,407,-73.564295,45.515381
G814,407,-73.564175,45.515327
G815,407,-73.564175,45.515327
G816,407,-73.564047,45.515268
G817,407,-73.564047,45.515268
G818,407,-73.563919,45.51521
G819,407,-73.563919,45.51521
G820,407,-73.563789,45.515151
